UWI,Name,Method,North Reference,Md,Inclination,Azimuth
test well,test-3pt-tang-mag,Tangential,Magnetic North,0,0,0
test well,test-3pt-tang-mag,Tangential,Magnetic North,1000,0,0
test well,test-3pt-tang-mag,Tangential,Magnetic North,6000,90,180
test well,test-unk-tang-mag,Tangential,Magnetic North,0,0,0
test well,test-unk-tang-mag,Tangential,Magnetic North,6000,90,180
test well,test-2pt-tang-true,Tangential,True North,0,0,0
test well,test-2pt-tang-true,Tangential,True North,6000,90,180
test well,test-3pt-tang-true,Tangential,True North,0,0,0
test well,test-3pt-tang-true,Tangential,True North,1000,0,0
test well,test-3pt-tang-true,Tangential,True North,6000,90,180
test well,test-unk-tang-true,Tangential,True North,0,0,0
test well,test-unk-tang-true,Tangential,True North,6000,90,180
test well,test-2pt-tang-unk,Tangential,,0,0,0
test well,test-2pt-tang-unk,Tangential,,6000,90,180
test well,test-3pt-tang-unk,Tangential,,0,0,0
test well,test-3pt-tang-unk,Tangential,,1000,0,0
test well,test-3pt-tang-unk,Tangential,,6000,90,180
test well,test-unk-tang-unk,Tangential,,0,0,0
test well,test-unk-tang-unk,Tangential,,6000,90,180
test well,test-2pt-unk-grid,,Grid North,0,0,0
test well,test-2pt-unk-grid,,Grid North,6000,90,180
test well,test-3pt-unk-grid,,Grid North,0,0,0
test well,test-3pt-unk-grid,,Grid North,1000,0,0
test well,test-3pt-unk-grid,,Grid North,6000,90,180
test well,test-unk-unk-grid,,Grid North,0,0,0
test well,test-unk-unk-grid,,Grid North,6000,90,180
test well,test-2pt-unk-mag,,Magnetic North,0,0,0
test well,test-2pt-unk-mag,,Magnetic North,6000,90,180
test well,test-3pt-unk-mag,,Magnetic North,0,0,0
test well,test-3pt-unk-mag,,Magnetic North,1000,0,0
test well,test-3pt-unk-mag,,Magnetic North,6000,90,180
test well,test-unk-unk-mag,,Magnetic North,0,0,0
test well,test-unk-unk-mag,,Magnetic North,6000,90,180
test well,test-2pt-unk-true,,True North,0,0,0
test well,test-2pt-unk-true,,True North,6000,90,180
test well,test-3pt-unk-true,,True North,0,0,0
test well,test-3pt-unk-true,,True North,1000,0,0
test well,test-3pt-unk-true,,True North,6000,90,180
test well,test-unk-unk-true,,True North,0,0,0
test well,test-unk-unk-true,,True North,6000,90,180
test well,test-2pt-unk-unk,,,0,0,0
test well,test-2pt-unk-unk,,,6000,90,180
test well,test-3pt-unk-unk,,,0,0,0
test well,test-3pt-unk-unk,,,1000,0,0
test well,test-3pt-unk-unk,,,6000,90,180
test well,test-unk-unk-unk,,,0,0,0
test well,test-unk-unk-unk,,,6000,90,180
